CContractID,ClientID,DateOfCommencement,DateOfExpiration,Duration,Expense,Click Profit
82,85,2025-02-04,2025-03-16,0,4193.12,3.99
151,84,2025-09-12,2025-12-01,80,4990.15,0.65
152,54,2025-09-12,2025-12-10,89,14860.79,1.18
153,149,2025-09-20,2026-03-15,176,15715.66,3.37
154,43,2025-09-26,2026-07-14,291,13627.23,4.96
155,190,2025-09-26,2026-04-18,204,15198.36,1.71
156,26,2025-09-17,2026-06-24,280,8233.52,4.11
157,55,2025-09-16,2026-02-26,163,10539.34,0.73
158,193,2025-09-15,2026-03-28,194,17080.63,2.41
159,104,2025-09-10,2026-04-23,225,8577.16,0.90
160,50,2025-09-23,2026-04-12,201,18114.44,3.58
161,178,2025-09-06,2026-05-28,264,18296.97,1.71
162,101,2025-10-01,2026-04-03,184,6059.83,1.73
163,160,2025-09-09,2025-11-27,79,13025.57,3.18
164,154,2025-09-13,2025-11-26,74,7730.51,2.80
165,76,2025-09-09,2025-11-18,70,14938.69,0.89
166,43,2025-09-16,2025-11-25,70,2857.98,1.89
167,8,2025-09-01,2026-01-03,124,13661.79,4.97
168,140,2025-09-18,2025-12-23,96,13227.90,3.01
169,11,2025-09-19,2026-03-06,168,8819.88,4.85
170,47,2025-09-17,2026-04-12,207,10489.58,4.82
171,114,2025-09-17,2026-07-14,300,3919.13,4.39
172,140,2025-09-24,2026-04-17,205,12661.08,1.32
173,52,2025-09-08,2025-12-08,91,9159.08,1.96
174,134,2025-09-22,2026-07-12,293,13631.13,1.13
175,48,2025-09-05,2025-12-27,113,4729.04,3.67
176,189,2025-09-18,2026-05-09,233,11624.96,4.91
177,30,2025-09-01,2026-06-08,280,10517.87,0.81
178,149,2025-09-05,2026-03-06,182,7783.26,4.86
179,13,2025-09-08,2026-02-06,151,5007.57,3.17
180,78,2025-09-08,2025-11-15,68,8786.70,1.23
181,164,2025-09-29,2026-03-02,154,8474.06,3.42
182,56,2025-09-04,2026-06-30,299,12450.63,3.61
183,184,2025-09-03,2026-05-20,259,1987.50,0.65
184,147,2025-09-01,2026-01-21,142,17027.00,1.55
185,41,2025-09-05,2026-03-15,191,15722.17,1.09
186,139,2025-09-19,2026-01-22,125,3504.53,4.02
187,46,2025-09-01,2025-12-12,102,4233.20,2.90
188,57,2025-09-24,2026-06-05,254,14954.30,3.79
189,153,2025-09-24,2026-04-16,204,18175.92,3.26
190,110,2025-09-17,2026-06-08,264,12152.97,4.85
191,20,2025-09-07,2026-03-05,179,6295.89,4.35
192,138,2025-09-30,2026-02-03,126,17071.88,4.89
193,137,2025-09-13,2025-12-26,104,5551.78,2.83
194,128,2025-09-02,2026-04-22,232,4932.44,4.60
195,63,2025-09-01,2026-03-18,198,12335.61,0.98
196,76,2025-09-25,2025-12-27,93,10756.22,1.98
197,72,2025-09-19,2026-05-19,242,19569.88,4.41
198,178,2025-09-14,2026-04-12,210,11849.18,3.88
199,7,2025-09-27,2026-06-21,267,8992.83,1.05
200,57,2025-09-14,2025-12-13,90,16694.29,2.24
201,91,2025-09-19,2025-12-27,99,1923.91,1.00
202,17,2025-09-14,2026-06-03,262,18705.95,3.14
203,95,2025-09-09,2026-05-31,264,16586.68,4.18
204,8,2025-09-08,2026-03-13,186,3782.58,3.45
